종목코드,종목명,시장구분,산업분류,현재가(종가),전일대비,시가총액(원),일자,관리여부,종가,EPS,BPS,주당배당금,배당수익률,PER,PBR,PCR,PSR
170790,파이오링크,코스닥,IT H/W,13150,-100,90160739500,2020-12-28,-,13150,868,5640,100,0.76,15.15,2.41831794573643,11.4132810365854,2.66635055555556
170920,엘티씨,코스닥,IT H/W,11850,-100,89918345100,2020-12-28,-,11850,104,11611,100,0.84,115.11462,1.00208591947769,19.18577,0.99990983713355
117670,알파홀딩스,코스닥,IT H/W,4520,-35,89902280200,2020-12-28,-,4520,,3815,0,0,,1.54069319878049,,1.29443485963115
123570,이엠넷,코스닥,기타서비스,4030,0,89772594340,2020-12-28,-,4030,322,2617,30,0.74,12.4684158805556,1.44097262182986,19.9494654088889,2.44611973678474
071460,위니아딤채,코스닥,일반전기전자,2495,-35,89738401025,2020-12-28,-,2495,131,2393,0,0,19.1698029734043,0.754590234296482,2.26947289609572,0.120050731479014
050760,에스폴리텍,코스닥,화학,5460,-100,89187341880,2020-12-28,-,5460,684,3429,50,0.92,8.62532062616822,1.63927052753108,3.94405686752137,0.683636523703704
049520,유아이엘,코스닥,IT H/W,4090,15,89100388240,2020-12-28,-,4090,395,7761,400,9.78,10.2362952289157,0.500950768867925,3.49634775308642,0.207983477111383
053350,이니텍,코스닥,IT S/W & SVC,4500,-115,89059122000,2020-12-28,-,4500,,5856,20,0.44,,0.458077448481832,1.99626376138829,0.31954083125
051380,피씨디렉트,코스닥,유통,11600,300,88955017600,2020-12-28,-,11600,494,4705,100,0.86,23.48,2.42164294736842,,0.313787905240488
195500,마니커에프앤지,코스닥,음식료·담배,8250,80,8.8836e+10,2020-12-28,-,8250,337,3535,0,0,24.48,2.44700599455041,10.8198939759036,0.899850901803607
138690,엘아이에스,코스닥,IT H/W,5530,-520,88629149630,2020-12-28,-,5530,,2625,0,0,,2.25889943851675,,0.650737398552722
079970,투비소프트,코스닥,IT S/W & SVC,2785,-195,88576604725,2020-12-28,-,2785,,1778,0,0,,2.24859727756813,268.14522535,2.62887475833333
327260,메탈라이프,코스닥,기타제조,24600,300,88476064800,2020-12-28,-,24600,453,7414,0,0,54.3,3.86248361089494,992.658288,6.1275202962963
050960,수산아이앤티,코스닥,출판·매체복제,13100,-500,88438100000,2020-12-28,-,13100,430,11277,75,0.57,30.6122931034483,1.16656570302234,16.4399351851852,5.548478125
024880,케이피에프,코스닥,금속,4990,-60,88414067500,2020-12-28,-,4990,480,9274,160,3.21,12.3794615131579,0.581482741038319,2.65025091549296,0.250023671272921
006910,보성파워텍,코스닥,금속,1915,-35,88229907985,2020-12-28,-,1915,18,1743,0,0,111.1512548375,1.11290367797247,12.1809594342466,0.796069864547896
018680,서울제약,코스닥,제약,10350,-1000,88228813050,2020-12-28,-,10350,28,5958,15,0.14,369.64,3.24530086140351,30.8303581833333,1.71279767685185
093190,빅솔론,코스닥,IT H/W,4585,70,88210379425,2020-12-28,-,4585,565,7613,190,4.14,9.06833803385417,0.592621137678693,7.25467042708333,1.02660430571934
217500,러셀,코스닥,기계·장비,2760,55,87801120000,2020-12-28,-,2760,147,1265,25,0.91,21.5109714285714,2.24741492537313,,2.20356292682927
094820,일진파워,코스닥,건설,5810,40,87607299290,2020-12-28,-,5810,800,6367,300,5.16,7.06654752288136,0.868596466354167,4.48307853602151,0.456155693490153
063440,SM Life Design,코스닥,출판·매체복제,1940,35,87550558760,2020-12-28,-,1940,,1084,0,0,,1.85417938053279,23.2010137871795,2.44551226405405
054090,삼진엘앤디,코스닥,IT H/W,3495,160,87232515840,2020-12-28,-,3495,24,3698,75,2.15,150.79536,0.977075766738661,5.026512,0.392015667244367
150900,파수,코스닥,IT S/W & SVC,7820,20,87217187260,2020-12-28,-,7820,,1735,0,0,,5.0448292755814,15.2229936035088,2.45115998700565
052220,iMBC,코스닥,IT S/W & SVC,3790,-30,8.717e+10,2020-12-28,-,3790,93,2270,0,0,46.1642857142857,1.81544943820225,7.573828125,1.87877906976744
